Index;Testcase;cobravsmongoose;greencapexml;jsonlib;jsonml;jsonmlpatched;jxon;newtonsoftjson;orgjsonxml;pesterfish;pesterfishdefused;x2js;x2jsabdmob;xmljson-abdera;xmljson-badgerfish;xmljson-cobra;xmljson-gdata;xmljson-parker;xmljson-yahoo
38;C0 set (u000009, 00000A & 00000D);FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
39;Space Char (u000020);FAILED;FAILED;OK;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
40;ASCII printable (u000021-00007E);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
41;Discouraged (u00007F-000084);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
42;NEL Control Char (u000085);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
43;Discouraged (u000086-00009F);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
44;BMP plane I (u0000A0-000FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
45;BMP plane II (u001000-001FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
46;BMP plane III (u002000-002FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
47;BMP plane IV (u003000-003FFF);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
48;BMP plane V (u004000-004FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
49;BMP plane VI (u005000-005FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
50;BMP plane VII (u006000-006FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
51;BMP plane VIII (u007000-007FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
52;BMP plane IX (u008000-008FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
53;BMP plane X (u009000-009FFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
54;BMP plane XI (u00A000-00AFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
55;BMP plane XII (u00B000-00BFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
56;BMP plane XIII (u00C000-00CFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
57;BMP plane XIV (u00D000-00D7FF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
58;BMP plane XV (u00E000-00EFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
59;BMP plane XVI (u00F000-00FDCF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
60;BMP plane Discouraged (u00FDD0-00FDEF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
61;BMP plane XVII (u00FDF0-00FFFD);ERROR;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
62;SMP plane (u010000-01FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
